100,100,40
100,182,55
100,179,3
100,173,6
100,100,46
100,101,31
100,120,8
100,120,9
100,120,10
100,120,12
100,132,11
100,142,18
100,142,24
100,151,17
100,175,0
101,104,45
102,100,46
102,102,38
102,103,42
103,112,31
103,113,39
104,105,30
104,111,39
104,112,31
104,115,27
104,115,28
105,106,42
105,100,46
106,107,31
106,108,30
106,110,39
107,100,46
107,106,42
107,109,38
108,100,46
108,106,42
108,109,38
109,109,38
110,107,31
110,108,29
110,110,39
111,105,29
111,111,39
111,112,31
111,115,27
111,115,28
112,100,46
112,102,38
112,103,42
113,112,31
113,113,39
114,100,46
114,114,38
114,117,48
114,117,49
114,117,56
114,117,57
114,117,58
114,117,59
114,118,50
114,118,51
114,118,60
114,118,61
114,119,37
114,119,42
114,119,43
114,119,44
115,100,46
115,114,38
115,117,48
115,117,49
115,117,56
115,117,57
115,117,58
115,117,59
115,118,50
115,118,51
115,118,60
115,118,61
115,119,37
115,119,42
115,119,43
115,119,44
116,115,27
116,115,28
116,115,31
116,116,39
117,115,27
117,115,28
117,115,31
117,116,39
118,115,27
118,115,28
118,115,31
118,116,39
119,115,27
119,115,28
119,115,31
119,116,39
120,121,31
121,100,46
121,123,45
121,130,39
123,124,27
123,124,28
123,124,31
123,125,39
124,100,46
124,126,37
124,126,42
124,126,43
124,126,44
124,127,48
124,127,49
124,127,56
124,127,57
124,127,58
124,127,59
124,128,50
124,128,51
124,128,60
124,128,61
124,129,38
125,124,27
125,124,28
125,124,31
125,125,39
126,124,27
126,124,28
126,124,31
126,125,39
127,124,27
127,124,28
127,124,31
127,125,39
128,124,27
128,124,28
128,124,31
128,125,39
129,100,46
129,126,37
129,126,42
129,126,43
129,126,44
129,127,48
129,127,49
129,127,56
129,127,58
129,127,59
129,128,50
129,128,51
129,128,60
129,128,61
129,129,38
130,133,8
130,133,9
130,133,10
130,133,11
130,133,12
130,135,38
131,100,46
131,130,39
131,141,45
132,131,31
133,136,31
134,133,8
134,133,9
134,133,10
134,133,11
134,133,12
135,100,41
135,100,46
136,134,47
136,137,38
137,100,41
137,100,46
138,100,46
138,139,42
139,138,31
139,140,30
140,100,46
140,139,42
141,138,31
141,140,30
142,143,39
143,144,27
143,144,28
143,144,31
143,145,39
144,147,37
144,147,42
144,147,43
144,147,44
144,148,50
144,148,51
144,148,60
144,148,61
144,149,48
144,149,49
144,149,56
144,149,57
144,149,58
144,149,59
144,150,38
145,144,27
145,144,28
145,144,31
145,145,39
147,144,27
147,144,28
147,144,31
147,145,39
148,144,27
148,144,28
148,144,31
148,145,39
149,144,27
149,144,28
149,144,31
149,145,39
150,100,41
150,100,46
150,147,37
150,147,42
150,147,43
150,147,44
150,148,50
150,148,51
150,148,60
150,148,61
150,149,48
150,149,49
150,149,56
150,149,57
150,149,58
150,149,59
150,150,38
151,152,39
152,153,8
152,153,9
152,153,10
153,154,31
154,155,45
155,156,27
155,156,28
155,156,31
155,157,39
156,158,37
156,158,42
156,158,43
156,160,46
156,158,44
156,159,38
157,156,27
157,156,28
157,156,31
157,157,39
158,156,27
158,156,28
158,156,31
158,157,39
159,159,38
159,160,46
159,172,47
160,161,39
160,162,27
160,162,28
160,162,31
161,161,39
161,162,27
161,162,28
161,162,31
162,163,50
162,163,51
162,163,60
162,163,61
162,164,48
162,164,49
162,164,56
162,164,57
162,167,46
162,164,58
162,164,59
162,165,37
162,165,42
162,165,43
162,165,44
162,166,38
163,161,39
163,162,27
163,162,28
163,162,31
164,161,39
164,162,27
164,162,28
164,162,31
165,161,39
165,162,27
165,162,28
165,162,31
166,163,50
166,163,51
166,163,60
166,163,61
166,164,48
166,164,49
166,164,56
166,164,57
166,164,58
166,164,59
166,165,37
166,165,42
166,165,43
166,165,44
166,166,38
166,167,46
167,168,27
167,168,28
167,168,31
168,169,62
168,169,63
169,170,38
170,100,41
173,174,64
174,173,27
174,173,28
173,100,46
174,173,29
174,173,30
174,173,31
174,173,7
175,176,1
176,177,48
176,100,30
177,178,31
177,178,2
177,178,11
178,100,49
179,180,4
180,181,5
180,181,31
181,100,46
182,183,27
182,183,28
182,183,29
182,183,30
182,183,31
182,100,46
183,100,46
